dayType,hightemp,lowtemp,avgtemp,cloudcover,volume
weekday,83,50,66.5,7.599999905,501
weekday,73,49,61,6.300000191,419
weekday,74,52,63,7.5,397
weekend,95,61,78,2.599999905,385
weekday,44,52,48,10,200
weekday,69,54,61.5,6.599999905,375
weekday,66,39,52.5,2.400000095,417
weekend,66,38,52,0,629
weekend,80,55,67.5,3.799999952,533
weekday,79,45,62,4.099999905,547
weekday,78,55,66.5,8.5,432
weekday,65,48,56.5,7.199999809,418
weekday,41,49,45,10,193
weekday,59,35,47,7.699999809,331
weekday,50,35,42.5,5.800000191,280
weekday,54,32,43,3.599999905,304
weekend,97,71,84,6.099999905,352
weekday,75,43,59,6.300000191,156
weekday,63,35,49,8.600000381,365
weekday,42,37,39.5,10,181
weekend,70,49,59.5,7.900000095,514
weekday,57,48,52.5,6.800000191,259
weekday,71,39,55,5.199999809,452
weekday,46,30,38,9.699999809,189
weekday,61,35,48,4.400000095,362
weekday,81,65,73,10,256
weekday,64,58,61,10,155
weekday,57,36,46.5,6.5,174
weekday,62,36,49,0,259
weekend,83,54,68.5,1.200000048,535
weekend,76,44,60,1.799999952,650
weekday,74,50,62,8,409
weekday,59,40,49.5,9.399999619,311
weekend,77,52,64.5,5,736
weekday,52,43,47.5,5.800000191,186
weekday,67,43,55,6.699999809,371
weekend,51,19,35,0,291
weekday,41,25,33,0,287
weekday,90,65,77.5,8.399999619,411
weekend,70,30,50,0,461
weekday,81,39,60,0,540
weekday,72,53,62.5,7.900000095,376
weekday,70,63,66.5,9.899999619,554
weekday,69,41,55,6.400000095,339
weekday,59,34,46.5,2.400000095,344
weekend,60,32,46,1.200000048,348
weekday,72,47,59.5,4.099999905,517
weekday,70,47,58.5,9.899999619,328
weekday,76,72,74,9.699999809,298
weekday,56,38,47,0,335
weekday,66,38,52,3.900000095,186
weekday,84,69,76.5,8.899999619,505
weekday,58,51,54.5,10,156
weekday,56,41,48.5,7,362
weekend,79,47,63,7,507
weekend,67,39,53,6.800000191,407
weekday,75,47,61,6.800000191,421
weekday,65,30,47.5,4.300000191,393
weekday,70,41,55.5,5.099999905,422
weekday,64,41,52.5,3.400000095,349
weekday,51,39,45,10,150
weekday,77,43,60,0.400000006,429
weekday,60,34,47,10,293
weekday,74,55,64.5,4.599999905,461
weekday,84,70,77,9.899999619,388
weekday,61,42,51.5,6.400000095,322
weekend,49,43,46,9.699999809,129
weekend,71,42,56.5,4,415
weekday,70,62,66,3,460
weekday,83,60,71.5,8.199999809,405
weekday,90,66,78,6.599999905,453
weekday,92,66,79,7.900000095,395
weekday,88,54,71,6.199999809,531
weekday,62,39,50.5,0.800000012,236
weekday,86,50,68,6.199999809,484
weekday,67,43,55,0.400000006,445
weekday,59,35,47,1.700000048,252
weekend,89,69,79,9,286
weekend,63,46,54.5,6.900000095,400
weekend,59,46,52.5,10,261
weekend,74,55,64.5,7.800000191,339
weekend,80,33,56.5,0.699999988,617
weekend,55,45,50,9.600000381,316
weekend,62,28,45,5.699999809,367
weekend,74,33,53.5,2.5,635
weekend,95,66,80.5,4.099999905,449
weekend,65,20,42.5,9.399999619,314
weekend,55,43,49,9,264
weekend,89,57,73,1.899999976,356
weekend,80,53,66.5,3.799999952,564
