기간,자치구,면적,인구,수거지인구율,배출량(C),처리량(D),수거율,계,처리방법
2018,종로구,24,163026,100,947,947,100,49,매립
2018,중구,10,135633,100,1042,1042,100,48,매립
2018,용산구,22,245090,100,1163,1163,100,28,매립
2018,성동구,17,316463,100,2039,2039,100,474,매립
2018,광진구,17,371063,100,1250,1250,100,28,매립
2018,동대문구,14,364338,100,1676,1676,100,41,매립
2018,중랑구,19,408147,100,1760,1760,100,35,매립
2018,성북구,25,447687,100,2390,2390,100,67,매립
2018,강북구,24,322915,100,833,833,100,8,매립
2018,도봉구,21,341649,100,707,707,100,65,매립
2018,노원구,35,548160,100,1723,1723,100,27,매립
2018,은평구,30,487666,100,2044,2044,100,98,매립
2018,서대문구,18,323080,100,1194,1194,100,41,매립
2018,마포구,24,386359,100,1513,1513,100,125,매립
2018,양천구,17,468145,100,1084,1084,100,71,매립
2018,강서구,41,603611,100,3779,3779,100,753,매립
2018,구로구,20,438486,100,1425,1425,100,86,매립
2018,금천구,13,254021,100,1399,1399,100,139,매립
2018,영등포구,25,403600,100,2344,2344,100,24,매립
2018,동작구,16,409385,100,1569,1569,100,35,매립
2018,관악구,30,520040,100,1508,1508,100,93,매립
2018,서초구,47,438163,100,2834,2834,100,138,매립
2018,강남구,40,547453,100,4814,4814,100,342,매립
2018,송파구,34,673507,100,2917,2917,100,162,매립
2018,강동구,25,431920,100,2329,2329,100,47,매립
2018,종로구,24,163026,100,947,947,100,86,소각
2018,중구,10,135633,100,1042,1042,100,149,소각
2018,용산구,22,245090,100,1163,1163,100,76,소각
2018,성동구,17,316463,100,2039,2039,100,69,소각
2018,광진구,17,371063,100,1250,1250,100,58,소각
2018,동대문구,14,364338,100,1676,1676,100,90,소각
2018,중랑구,19,408147,100,1760,1760,100,89,소각
2018,성북구,25,447687,100,2390,2390,100,86,소각
2018,강북구,24,322915,100,833,833,100,69,소각
2018,도봉구,21,341649,100,707,707,100,60,소각
2018,노원구,35,548160,100,1723,1723,100,165,소각
2018,은평구,30,487666,100,2044,2044,100,50,소각
2018,서대문구,18,323080,100,1194,1194,100,82,소각
2018,마포구,24,386359,100,1513,1513,100,105,소각
2018,양천구,17,468145,100,1084,1084,100,85,소각
2018,강서구,41,603611,100,3779,3779,100,251,소각
2018,구로구,20,438486,100,1425,1425,100,127,소각
2018,금천구,13,254021,100,1399,1399,100,2,소각
2018,영등포구,25,403600,100,2344,2344,100,107,소각
2018,동작구,16,409385,100,1569,1569,100,71,소각
2018,관악구,30,520040,100,1508,1508,100,37,소각
2018,서초구,47,438163,100,2834,2834,100,93,소각
2018,강남구,40,547453,100,4814,4814,100,212,소각
2018,송파구,34,673507,100,2917,2917,100,138,소각
2018,강동구,25,431920,100,2329,2329,100,85,소각
2018,종로구,24,163026,100,947,947,100,811,재활용
2018,중구,10,135633,100,1042,1042,100,845,재활용
2018,용산구,22,245090,100,1163,1163,100,1052,재활용
2018,성동구,17,316463,100,2039,2039,100,1486,재활용
2018,광진구,17,371063,100,1250,1250,100,1165,재활용
2018,동대문구,14,364338,100,1676,1676,100,1527,재활용
2018,중랑구,19,408147,100,1760,1760,100,1636,재활용
2018,성북구,25,447687,100,2390,2390,100,2236,재활용
2018,강북구,24,322915,100,833,833,100,756,재활용
2018,도봉구,21,341649,100,707,707,100,582,재활용
2018,노원구,35,548160,100,1723,1723,100,1534,재활용
2018,은평구,30,487666,100,2044,2044,100,1896,재활용
2018,서대문구,18,323080,100,1194,1194,100,1077,재활용
2018,마포구,24,386359,100,1513,1513,100,1290,재활용
2018,양천구,17,468145,100,1084,1084,100,907,재활용
2018,강서구,41,603611,100,3779,3779,100,2775,재활용
2018,구로구,20,438486,100,1425,1425,100,1210,재활용
2018,금천구,13,254021,100,1399,1399,100,1259,재활용
2018,영등포구,25,403600,100,2344,2344,100,2192,재활용
2018,동작구,16,409385,100,1569,1569,100,1463,재활용
2018,관악구,30,520040,100,1508,1508,100,1378,재활용
2018,서초구,47,438163,100,2834,2834,100,2603,재활용
2018,강남구,40,547453,100,4814,4814,100,4236,재활용
2018,송파구,34,673507,100,2917,2917,100,2616,재활용
2018,강동구,25,431920,100,2329,2329,100,2196,재활용
